possessor,possessed,gender,tier,is_dialogue,example
her,niece,female,pronoun,True,"But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and, therefore, as she will think it "
her,idea,female,pronoun,True,"“While Mary is adjusting her ideas,” he continued, “let us return to Mr. Bingley.”"
his,wife,male,pronoun,False,"“I am sick of Mr. Bingley,” cried his wife."
his,wife,male,pronoun,False,"“Now, Kitty, you may cough as much as you choose,” said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife."
his,kindness,male,pronoun,True,"“I do not know how you will ever make him amends for his kindness; or me either, for that matter."
bennet,visit,male,name,False,"The rest of the evening was spent in conjecturing how soon he would return Mr. Bennet’s visit, and determining when they should ask him to dinner."
her,daughter,female,pronoun,False,"[Illustration] Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her"
her,husband,female,pronoun,False,"[Illustration] Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her"
her,report,female,pronoun,False,Her report was highly favourable.
bingley,heart,male,name,False,To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley’s heart were entertained.
her,husband,female,pronoun,False,"“If I can but see one of my daughters happily settled at Netherfield,” said Mrs. Bennet to her husband, “and all the others equally well married, I sh"
bennet,visit,male,name,False,"In a few days Mr. Bingley returned Mr. Bennet’s visit, and sat about ten minutes with him in his library."
his,library,male,pronoun,False,"In a few days Mr. Bingley returned Mr. Bennet’s visit, and sat about ten minutes with him in his library."
her,housekeeping,female,pronoun,False,"already had Mrs. Bennet planned the courses that were to do credit to her housekeeping, when an answer arrived which deferred it all."
his,arrival,male,pronoun,False,She could not imagine what business he could have in town so soon after his arrival in Hertfordshire; and she began to fear that he might always be fl
her,fear,female,pronoun,False,Lady Lucas quieted her fears a little by starting the idea of his [Illustration: “When the Party entered” [_Copyright 1894 by George Allen._]] being g
his,illustration,male,pronoun,False,Lady Lucas quieted her fears a little by starting the idea of his [Illustration: “When the Party entered” [_Copyright 1894 by George Allen._]] being g
his,sister,male,pronoun,False,"The girls grieved over such a number of ladies; but were comforted the day before the ball by hearing that, instead of twelve, he had brought only six"
his,sister,male,pronoun,False,"And when the party entered the assembly-room, it consisted of only five altogether: Mr. Bingley, his two sisters, the husband of the eldest, and anoth"
his,sister,male,pronoun,False,"His sisters were fine women, with an air of decided fashion."
his,brother,male,pronoun,False,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, han"
his,friend,male,pronoun,False,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, han"
his,person,male,pronoun,False,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, han"
his,entrance,male,pronoun,False,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, han"
his,manner,male,pronoun,False,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great"
his,popularity,male,pronoun,False,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great"
his,company,male,pronoun,False,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great"
his,estate,male,pronoun,False,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great"
his,friend,male,pronoun,False,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great"
his,friend,male,pronoun,False,What a contrast between him and his friend!
his,party,male,pronoun,False,"Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley, declined being introduced to any other lady, and spent the rest of the evening "
his,character,male,pronoun,False,His character was decided.
his,behaviour,male,pronoun,False,"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having sl"
her,daughter,female,pronoun,False,"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having sl"
his,friend,male,pronoun,False,"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing"
her,sister,female,pronoun,True,"But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say very agreeable."
her,eye,female,pronoun,False,"and turning round, he looked for a moment at Elizabeth, till, catching her eye, he withdrew his own, and coldly said, “She is tolerable: but not hands"
his,own,male,pronoun,False,"and turning round, he looked for a moment at Elizabeth, till, catching her eye, he withdrew his own, and coldly said, “She is tolerable: but not hands"
her,smile,female,pronoun,True,"You had better return to your partner and enjoy her smiles, for you are wasting your time with me.”"
his,advice,male,pronoun,False,Mr. Bingley followed his advice.
her,friend,female,pronoun,False,"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous."
her,daughter,female,pronoun,False,Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party.
his,sister,male,pronoun,False,"Mr. Bingley had danced with her twice, and she had been distinguished by his sisters."
her,mother,female,pronoun,False,"Jane was as much gratified by this as her mother could be, though in a quieter way."
jane,pleasure,female,name,False,Elizabeth felt Jane’s pleasure.
his,wife,male,pronoun,False,He had rather hoped that all his wife’s views on the stranger would be disappointed; but he soon found that he had a very different story to hear.
wife,view,female,role_noun,False,He had rather hoped that all his wife’s views on the stranger would be disappointed; but he soon found that he had a very different story to hear.
her,husband,female,pronoun,False,"“If he had had any compassion for _me_,” cried her husband impatiently, “he would not have danced half so much!"
his,partner,male,pronoun,True,"For God’s sake, say no more of his partners."
his,ancle,male,pronoun,True,O that he had sprained his ancle in the first dance!”
his,sister,male,pronoun,True,and his sisters are charming women.
his,fancy,male,pronoun,True,"“But I can assure you,” she added, “that Lizzy does not lose much by not suiting _his_ fancy; for he is a most disagreeable, horrid man, not at all wo"
her,praise,female,pronoun,False,"When Jane and Elizabeth were alone, the former, who had been cautious in her praise of Mr. Bingley before, expressed to her sister how very much she a"
her,sister,female,pronoun,False,"When Jane and Elizabeth were alone, the former, who had been cautious in her praise of Mr. Bingley before, expressed to her sister how very much she a"
his,character,male,pronoun,True,His character is thereby complete.”
his,gallantry,male,pronoun,True,No thanks to his gallantry for that.
man,sister,male,role_noun,True,"And so, you like this man’s sisters, too, do you?"
her,brother,female,pronoun,True,"Miss Bingley is to live with her brother, and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.”"
his,house,male,pronoun,True,"Miss Bingley is to live with her brother, and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.”"
her,sister,female,pronoun,False,"Elizabeth listened in silence, but was not convinced: their behaviour at the assembly had not been calculated to please in general; and with more quic"
brother,fortune,male,role_noun,False,They were of a respectable family in the north of England; a circumstance more deeply impressed on their memories than that their brother’s fortune an
his,father,male,pronoun,False,"Mr. Bingley inherited property to the amount of nearly a hundred thousand pounds from his father, who had intended to purchase an estate, but did not "
his,county,male,pronoun,False,"Mr. Bingley intended it likewise, and sometimes made choice of his county; but, as he was now provided with a good house and the liberty of a manor, i"
his,temper,male,pronoun,False,"Mr. Bingley intended it likewise, and sometimes made choice of his county; but, as he was now provided with a good house and the liberty of a manor, i"
his,day,male,pronoun,False,"Mr. Bingley intended it likewise, and sometimes made choice of his county; but, as he was now provided with a good house and the liberty of a manor, i"
his,sister,male,pronoun,False,"His sisters were very anxious for his having an estate of his own; but though he was now established only as a tenant, Miss Bingley was by no means un"
his,own,male,pronoun,False,"His sisters were very anxious for his having an estate of his own; but though he was now established only as a tenant, Miss Bingley was by no means un"
his,table,male,pronoun,False,"His sisters were very anxious for his having an estate of his own; but though he was now established only as a tenant, Miss Bingley was by no means un"
his,house,male,pronoun,False,"was Mrs. Hurst, who had married a man of more fashion than fortune, less disposed to consider his house as her home when it suited her."
her,home,female,pronoun,False,"was Mrs. Hurst, who had married a man of more fashion than fortune, less disposed to consider his house as her home when it suited her."
his,temper,male,pronoun,False,"Bingley was endeared to Darcy by the easiness, openness, and ductility of his temper, though no disposition could offer a greater contrast to his own,"
his,own,male,pronoun,False,"Bingley was endeared to Darcy by the easiness, openness, and ductility of his temper, though no disposition could offer a greater contrast to his own,"
his,own,male,pronoun,False,"Bingley was endeared to Darcy by the easiness, openness, and ductility of his temper, though no disposition could offer a greater contrast to his own,"
darcy,regard,male,name,False,"On the strength of Darcy’s regard, Bingley had the firmest reliance, and of his judgment the highest opinion."
his,judgment,male,pronoun,False,"On the strength of Darcy’s regard, Bingley had the firmest reliance, and of his judgment the highest opinion."
his,manner,male,pronoun,False,"He was at the same time haughty, reserved, and fastidious; and his manners, though well bred, were not inviting."
his,friend,male,pronoun,False,In that respect his friend had greatly the advantage.
his,life,male,pronoun,False,Bingley had never met with pleasanter people or prettier girls in his life; everybody had been most kind and attentive to him; there had been no forma
her,sister,female,pronoun,False,"Mrs. Hurst and her sister allowed it to be so; but still they admired her and liked her, and pronounced her to be a sweet girl, and one whom they shou"
his,mayoralty,male,pronoun,False,"Sir William Lucas had been formerly in trade in Meryton, where he had made a tolerable fortune, and risen to the honour of knighthood by an address to"
his,business,male,pronoun,False,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a h"
his,residence,male,pronoun,False,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a h"
his,family,male,pronoun,False,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a h"
his,importance,male,pronoun,False,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a h"
his,rank,male,pronoun,False,"For, though elated by his rank, it did not render him supercilious; on the contrary, he was all attention to everybody."
his,presentation,male,pronoun,False,"By nature inoffensive, friendly, and obliging, his presentation at St. James’s had made him courteous."
elizabeth,friend,female,name,False,"The eldest of them, a sensible, intelligent young woman, about twenty-seven, was Elizabeth’s intimate friend."
bingley,choice,male,name,True,“_You_ were Mr. Bingley’s first choice.”
his,second,male,pronoun,True,“Yes; but he seemed to like his second better.”
his,friend,male,pronoun,True,"“Mr. Darcy is not so well worth listening to as his friend, is he?"
lizzy,head,female,name,True,"“I beg you will not put it into Lizzy’s head to be vexed by his ill-treatment, for he is such a disagreeable man that it would be quite a misfortune t"
his,treatment,male,pronoun,True,"“I beg you will not put it into Lizzy’s head to be vexed by his ill-treatment, for he is such a disagreeable man that it would be quite a misfortune t"
his,lip,male,pronoun,True,Mrs. Long told me last night that he sat close to her for half an hour without once opening his lips.”
his,lip,male,pronoun,True,[Illustration: “Without once opening his lips” [_Copyright 1894 by George Allen._
his,acquaintance,male,pronoun,True,"“Miss Bingley told me,” said Jane, “that he never speaks much unless among his intimate acquaintance."
her,mother,female,pronoun,False,"“Another time, Lizzy,” said her mother, “I would not dance with _him_, if I were you.”"
his,pride,male,pronoun,True,"“His pride,” said Miss Lucas, “does not offend _me_ so much as pride often does, because there is an excuse for it."
his,favour,male,pronoun,True,"One cannot wonder that so very fine a young man, with family, fortune, everything in his favour, should think highly of himself."
his,pride,male,pronoun,True,"“That is very true,” replied Elizabeth, “and I could easily forgive _his_ pride, if he had not mortified _mine_.”"
her,reflection,female,pronoun,False,"“Pride,” observed Mary, who piqued herself upon the solidity of her reflections, “is a very common failing, I believe."
his,sister,male,pronoun,False,"“If I were as rich as Mr. Darcy,” cried a young Lucas, who came with his sisters, “I should not care how proud I was."
bennet,manner,female,name,False,"Miss Bennet’s pleasing manners grew on the good-will of Mrs. Hurst and Miss Bingley; and though the mother was found to be intolerable, and the younge"
her,sister,female,pronoun,False,"By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of everybody, hardly excep"
brother,admiration,male,role_noun,False,"By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of everybody, hardly excep"
her,friend,female,pronoun,False,"She mentioned this to her friend, Miss Lucas."
her,affection,female,pronoun,True,"If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor "
her,nature,female,pronoun,True,"“But she does help him on, as much as her nature will allow."
her,regard,female,pronoun,True,"If _I_ can perceive her regard for him, he must be a simpleton indeed not to discover it too.”"
jane,disposition,female,name,True,"“Remember, Eliza, that he does not know Jane’s disposition as you do.”"
his,attention,male,pronoun,True,Jane should therefore make the most of every half hour in which she can command his attention.
jane,feeling,female,name,True,But these are not Jane’s feelings; she is not acting by design.
her,regard,female,pronoun,True,"As yet she cannot even be certain of the degree of her own regard, nor of its reasonableness."
his,house,male,pronoun,True,"She danced four dances with him at Meryton; she saw him one morning at his own house, and has since dined in company with him four times."
his,character,male,pronoun,True,This is not quite enough to make her understand his character.”
his,character,male,pronoun,True,"“Well,” said Charlotte, “I wish Jane success with all my heart; and if she were married to him to-morrow, I should think she had as good a chance of h"
bingley,attention,male,name,False,"Occupied in observing Mr. Bingley’s attention to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interes"
her,sister,female,pronoun,False,"Occupied in observing Mr. Bingley’s attention to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interes"
his,friend,male,pronoun,False,"Occupied in observing Mr. Bingley’s attention to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interes"
his,friend,male,pronoun,False,"But no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face, than he began to find it was rendered un"
her,face,female,pronoun,False,"But no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face, than he began to find it was rendered un"
her,eye,female,pronoun,False,"But no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face, than he began to find it was rendered un"
her,form,female,pronoun,False,"Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light "
her,figure,female,pronoun,False,"Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light "
her,manner,female,pronoun,False,"Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light "
her,conversation,female,pronoun,False,"He began to wish to know more of her; and, as a step towards conversing with her himself, attended to her conversation with others."
his,do,male,pronoun,False,His doing so drew her notice.
her,notice,female,pronoun,False,His doing so drew her notice.
her,friend,female,pronoun,False,"_]] On his approaching them soon afterwards, though without seeming to have any intention of speaking, Miss Lucas defied her friend to mention such a "
her,turn,female,pronoun,True,"“It will be _her_ turn soon to be teased,” said Miss Lucas."
her,performance,female,pronoun,False,"Her performance was pleasing, though by no means capital."
her,mary,female,pronoun,False,"After a song or two, and before she could reply to the entreaties of several that she would sing again, she was eagerly succeeded at the instrument by"
her,sister,female,pronoun,False,"Elizabeth, easy and unaffected, had been listened to with much more pleasure, though not playing half so well; and Mary, at the end of a long concerto"
his,thought,male,pronoun,False,"Mr. Darcy stood near them in silent indignation at such a mode of passing the evening, to the exclusion of all conversation, and was too much engrosse"
his,neighbour,male,pronoun,False,"Mr. Darcy stood near them in silent indignation at such a mode of passing the evening, to the exclusion of all conversation, and was too much engrosse"
his,companion,male,pronoun,False,"He paused in hopes of an answer: but his companion was not disposed to make any; and Elizabeth at that instant moving towards them, he was struck with"
her,hand,female,pronoun,False,"And, taking her hand, he would have given it to Mr. Darcy, who, though extremely surprised, was not unwilling to receive it, when she instantly drew b"
her,hand,female,pronoun,False,"Mr. Darcy, with grave propriety, requested to be allowed the honour of her hand, but in vain."
her,purpose,female,pronoun,False,Elizabeth was determined; nor did Sir William at all shake her purpose by his attempt at persuasion.
his,attempt,male,pronoun,False,Elizabeth was determined; nor did Sir William at all shake her purpose by his attempt at persuasion.
his,complaisance,male,pronoun,True,"“He is, indeed: but considering the inducement, my dear Miss Eliza, we cannot wonder at his complaisance; for who would object to such a partner?”"
her,resistance,female,pronoun,False,"Her resistance had not injured her with the gentleman, and he was thinking of her with some complacency, when thus accosted by Miss Bingley,-- “I can "
her,eye,female,pronoun,False,"Miss Bingley immediately fixed her eyes on his face, and desired he would tell her what lady had the credit of inspiring such reflections."
his,face,male,pronoun,False,"Miss Bingley immediately fixed her eyes on his face, and desired he would tell her what lady had the credit of inspiring such reflections."
lady,imagination,female,role_noun,True,"A lady’s imagination is very rapid; it jumps from admiration to love, from love to matrimony, in a moment."
his,composure,male,pronoun,False,"He listened to her with perfect indifference, while she chose to entertain herself in this manner; and as his composure convinced her that all was saf"
her,wit,female,pronoun,False,"He listened to her with perfect indifference, while she chose to entertain herself in this manner; and as his composure convinced her that all was saf"
bennet,property,male,name,False,"[Illustration] Mr. Bennet’s property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entail"
his,daughter,male,pronoun,False,"[Illustration] Mr. Bennet’s property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entail"
mother,fortune,female,role_noun,False,"[Illustration] Mr. Bennet’s property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entail"
her,situation,female,pronoun,False,"[Illustration] Mr. Bennet’s property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entail"
her,father,female,pronoun,False,"Her father had been an attorney in Meryton, and had left her four thousand pounds."
his,niece,male,pronoun,False,"Mr. Philips visited them all, and this opened to his nieces a source of felicity unknown before."
bingley,fortune,male,name,False,"They could talk of nothing but officers; and Mr. Bingley’s large fortune, the mention of which gave animation to their mother, was worthless in their "
her,admiration,female,pronoun,False,"Catherine was disconcerted, and made no answer; but Lydia, with perfect indifference, continued to express her admiration of Captain Carter, and her h"
her,hope,female,pronoun,False,"Catherine was disconcerted, and made no answer; but Lydia, with perfect indifference, continued to express her admiration of Captain Carter, and her h"
his,regimental,male,pronoun,True,"I remember the time when I liked a red coat myself very well--and, indeed, so I do still at my heart; and if a smart young colonel, with five or six t"
bennet,eye,female,name,False,"Mrs. Bennet’s eyes sparkled with pleasure, and she was eagerly calling out, while her daughter read,-- “Well, Jane, who is it from?"
her,daughter,female,pronoun,False,"Mrs. Bennet’s eyes sparkled with pleasure, and she was eagerly calling out, while her daughter read,-- “Well, Jane, who is it from?"
bingley,chaise,male,name,True,"“Oh, but the gentlemen will have Mr. Bingley’s chaise to go to Meryton; and the Hursts have no horses to theirs.”"
mother,purpose,female,role_noun,True,"“But if you have got them to-day,” said Elizabeth, “my mother’s purpose will be answered.”"
her,father,female,pronoun,False,"She did at last extort from her father an acknowledgment that the horses were engaged; Jane was therefore obliged to go on horseback, and her mother a"
her,mother,female,pronoun,False,"She did at last extort from her father an acknowledgment that the horses were engaged; Jane was therefore obliged to go on horseback, and her mother a"
her,hope,female,pronoun,False,Her hopes were answered; Jane had not been gone long before it rained hard.
her,sister,female,pronoun,False,"Her sisters were uneasy for her, but her mother was delighted."
her,mother,female,pronoun,False,"Her sisters were uneasy for her, but her mother was delighted."
her,own,female,pronoun,False,"“This was a lucky idea of mine, indeed!” said Mrs. Bennet, more than once, as if the credit of making it rain were all her own."
her,contrivance,female,pronoun,False,"Till the next morning, however, she was not aware of all the felicity of her contrivance."
her,alternative,female,pronoun,False,"Elizabeth, feeling really anxious, determined to go to her, though the carriage was not to be had: and as she was no horsewoman, walking was her only "
her,resolution,female,pronoun,False,She declared her resolution.
her,mother,female,pronoun,False,"“How can you be so silly,” cried her mother, “as to think of such a thing, in all this dirt!"
her,father,female,pronoun,False,"“Is this a hint to me, Lizzy,” said her father, “to send for the horses?”"
her,walk,female,pronoun,False,"In Meryton they parted: the two youngest repaired to the lodgings of one of the officers’ wives, and Elizabeth continued her walk alone, crossing fiel"
her,appearance,female,pronoun,False,"She was shown into the breakfast parlour, where all but Jane were assembled, and where her appearance created a great deal of surprise."
brother,manner,male,role_noun,False,"She was received, however, very politely by them; and in their brother’s manners there was something better than politeness--there was good-humour and"
her,complexion,female,pronoun,False,The former was divided between admiration of the brilliancy which exercise had given to her complexion and doubt as to the occasion’s justifying her c
his,breakfast,male,pronoun,False,The latter was thinking only of his breakfast.
her,inquiry,female,pronoun,False,Her inquiries after her sister were not very favourably answered.
her,sister,female,pronoun,False,Her inquiries after her sister were not very favourably answered.
her,room,female,pronoun,False,"Miss Bennet had slept ill, and though up, was very feverish, and not well enough to leave her room."
her,note,female,pronoun,False,"Jane, who had only been withheld by the fear of giving alarm or inconvenience, from expressing in her note how much she longed for such a visit, was d"
her,entrance,female,pronoun,False,"Jane, who had only been withheld by the fear of giving alarm or inconvenience, from expressing in her note how much she longed for such a visit, was d"
his,patient,male,pronoun,False,"The apothecary came; and having examined his patient, said, as might be supposed, that she had caught a violent cold, and that they must endeavour to "
her,head,female,pronoun,False,"The advice was followed readily, for the feverish symptoms increased, and her head ached acutely."
her,room,female,pronoun,False,"Elizabeth did not quit her room for a moment, nor were the other ladies often absent; the gentlemen being out, they had in fact nothing to do elsewher"
her,stay,female,pronoun,False,"Elizabeth most thankfully consented, and a servant was despatched to Longbourn, to acquaint the family with her stay, and bring back a supply of cloth"
her,dislike,female,pronoun,False,"The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively the"
his,anxiety,male,pronoun,False,"His anxiety for Jane was evident, and his attentions to herself most pleasing; and they prevented her feeling herself so much an intruder as she belie"
his,attention,male,pronoun,False,"His anxiety for Jane was evident, and his attentions to herself most pleasing; and they prevented her feeling herself so much an intruder as she belie"
her,sister,female,pronoun,False,"Miss Bingley was engrossed by Mr. Darcy, her sister scarcely less so; and as for Mr. Hurst, by whom Elizabeth sat, he was an indolent man, who lived o"
her,manner,female,pronoun,False,"Her manners were pronounced to be very bad indeed,--a mixture of pride and impertinence: she had no conversation, no style, no taste, no beauty."
her,appearance,female,pronoun,True,I shall never forget her appearance this morning.
her,sister,female,pronoun,True,"Why must _she_ be scampering about the country, because her sister had a cold?"
her,hair,female,pronoun,True,"Her hair so untidy, so blowzy!”"
her,petticoat,female,pronoun,True,"“Yes, and her petticoat; I hope you saw her petticoat, six inches deep in mud, I am absolutely certain, and the gown which had been let down to hide i"
her,petticoat,female,pronoun,True,"“Yes, and her petticoat; I hope you saw her petticoat, six inches deep in mud, I am absolutely certain, and the gown which had been let down to hide i"
her,petticoat,female,pronoun,True,Her dirty petticoat quite escaped my notice.”
her,ancle,female,pronoun,True,"“To walk three miles, or four miles, or five miles, or whatever it is, above her ancles in dirt, and alone, quite alone!"
her,sister,female,pronoun,True,"“It shows an affection for her sister that is very pleasing,” said Bingley."
her,eye,female,pronoun,True,"“I am afraid, Mr. Darcy,” observed Miss Bingley, in a half whisper, “that this adventure has rather affected your admiration of her fine eyes.”"
her,sister,female,pronoun,False,"“That is capital,” added her sister; and they both laughed heartily."
his,sister,male,pronoun,False,"To this speech Bingley made no answer; but his sisters gave it their hearty assent, and indulged their mirth for some time at the expense of their dea"
her,room,female,pronoun,False,"With a renewal of tenderness, however, they repaired to her room on leaving the dining-parlour, and sat with her till summoned to coffee."
her,sister,female,pronoun,False,"On entering the drawing-room, she found the whole party at loo, and was immediately invited to join them; but suspecting them to be playing high, she "
her,heart,female,pronoun,False,"Elizabeth thanked him from her heart, and then walked towards a table where a few books were lying."
her,other,female,pronoun,False,He immediately offered to fetch her others; all that his library afforded.
his,library,male,pronoun,False,He immediately offered to fetch her others; all that his library afforded.
her,book,female,pronoun,False,"Elizabeth was so much caught by what passed, as to leave her very little attention for her book; and, soon laying it wholly aside, she drew near the c"
his,sister,male,pronoun,False,"Elizabeth was so much caught by what passed, as to leave her very little attention for her book; and, soon laying it wholly aside, she drew near the c"
bennet,height,female,name,True,"She is now about Miss Elizabeth Bennet’s height, or rather taller.”"
her,age,female,pronoun,True,"Such a countenance, such manners, and so extremely accomplished for her age!"
her,performance,female,pronoun,True,Her performance on the pianoforte is exquisite.”
his,assistant,male,pronoun,False,"“Oh, certainly,” cried his faithful assistant, “no one can be really esteemed accomplished who does not greatly surpass what is usually met with."
her,air,female,pronoun,True,"A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and, besides all this, she "
her,voice,female,pronoun,True,"A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and, besides all this, she "
her,address,female,pronoun,True,"A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and, besides all this, she "
her,mind,female,pronoun,True,"“All this she must possess,” added Darcy; “and to all she must yet add something more substantial in the improvement of her mind by extensive reading."
her,doubt,female,pronoun,False,"Mrs. Hurst and Miss Bingley both cried out against the injustice of her implied doubt, and were both protesting that they knew many women who answered"
her,sister,female,pronoun,False,"Elizabeth joined them again only to say that her sister was worse, and that she could not leave her."
his,sister,male,pronoun,False,"Bingley urged Mr. Jones’s being sent for immediately; while his sisters, convinced that no country advice could be of any service, recommended an expr"
brother,proposal,male,role_noun,False,This she would not hear of; but she was not so unwilling to comply with their brother’s proposal; and it was settled that Mr. Jones should be sent for
his,sister,male,pronoun,False,Bingley was quite uncomfortable; his sisters declared that they were miserable.
his,feeling,male,pronoun,False,"They solaced their wretchedness, however, by duets after supper; while he could find no better relief to his feelings than by giving his housekeeper d"
his,housekeeper,male,pronoun,False,"They solaced their wretchedness, however, by duets after supper; while he could find no better relief to his feelings than by giving his housekeeper d"
her,sister,female,pronoun,False,"They solaced their wretchedness, however, by duets after supper; while he could find no better relief to his feelings than by giving his housekeeper d"
her,girl,female,pronoun,False,[Illustration: M^{rs} Bennet and her two youngest girls [_Copyright 1894 by George Allen.
her,sister,female,pronoun,False,"[Illustration] Elizabeth passed the chief of the night in her sister’s room, and in the morning had the pleasure of being able to send a tolerable ans"
sister,room,female,role_noun,False,"[Illustration] Elizabeth passed the chief of the night in her sister’s room, and in the morning had the pleasure of being able to send a tolerable ans"
